id_sinistre,id_client,type,montant,date
45230491-50c2-4ebb-87cc-a43c9c7c8375,26bbcb9f-0721-47e1-ac54-2697ccd9c46e,accident,2152,2023-07-25
2a4775d6-2954-46e4-bc24-27020626df24,90e863c4-a5c0-42db-a871-cbb7b9314b81,accident,6436,2021-11-02
b85c077b-eaed-4fcf-b6b6-e70a20aefe83,2a599f14-2c6e-4a0d-84bf-35d572258cb0,accident,9240,2020-09-27
88b05ed8-0b96-4b03-8265-012245846163,33d5fcea-c408-4e78-bc14-0f994471ed5e,catastrophe naturelle,6604,2020-03-06
2dbcf587-0527-472a-9f2f-ecb6ec37500e,fc8f060b-bb3e-46d0-95d7-9d728fcefb19,accident,5423,2025-01-05
59ccb1c5-6379-49ae-b884-1c91fe107ce2,66082d91-8153-442e-b450-4525f2c4def8,vol,7778,2020-05-10
f044d03c-8393-4789-a9d0-cca17c094948,15e50e42-f00d-4ba9-a657-75f2896ea4f7,incendie,9371,2020-02-13
147cefe7-6b14-4500-bcdd-c4ad60e9220a,59ffdb4b-288e-4954-aee0-168c161ae12a,incendie,856,2021-06-30
f304fb49-8249-4a10-8b8f-57a5a894f6d3,2ac1b73d-68b5-4b80-a7ce-9c354e2280dc,catastrophe naturelle,6141,2020-04-12
05cb7d10-21cc-40f8-844c-22aa313e8df4,92c77976-ad29-4fe2-9e6e-f5b0f7c91b36,catastrophe naturelle,643,2022-05-08
831e54c3-59f0-4045-9fca-c843a1d6afaa,473355ec-fce3-4ae2-80a8-7886684f6495,catastrophe naturelle,1416,2024-12-02
b122772b-72d9-4772-8cfa-f26a3f0af251,a4617ad9-d0c0-49f4-8e99-daeb5cfc8e1a,catastrophe naturelle,7486,2024-11-13
ce36da5a-6751-4d94-ba30-561c3de13b73,292e9549-fb78-40b6-a627-b7ddc0778594,incendie,1009,2022-06-08
e9af622c-923e-4b23-91a0-7ec97954519d,160f6dcb-0fa9-4593-93b9-37cc27817ea1,incendie,5304,2021-07-13
2fa7f9c1-c0c5-4c0b-b9c0-3ba34cf39714,729a5c92-9fc7-44d3-8966-8263cdc94510,incendie,3828,2021-12-13
95a196e5-5219-495a-b6e1-10ea2156ac25,751e4067-1428-4756-aaef-b57b293a874d,vol,8959,2020-03-05
a75ae491-5096-45ad-9341-2098744badfe,b1365535-cfc1-457d-9f2f-736d81427cd3,vol,7365,2022-01-27
fab5c83f-2c9c-4761-abe0-aff225ec3ee4,2636f0fb-a596-4616-ab55-4b8789c3a2f5,vol,9521,2020-03-11
356a76cb-39ec-4e8a-8aea-f0635258dd5a,a123e1fa-5fda-4acc-835e-65b73fc73bf8,vol,4366,2023-11-30
ebbb0114-04ac-4268-9687-24e8ac7cc231,8921525b-f221-40ce-bc1c-b2cd718b3f34,vol,5297,2022-07-23
fb85e4e8-7a1f-407c-acc7-149d00797159,f4e01388-5f65-47b3-aa72-69b384f6dac6,accident,6457,2023-01-13
5ec9680f-249d-4b03-a54a-13dfeb422f44,0b33d68e-f3d1-4e24-bda0-acc4c1cb22eb,accident,4142,2023-02-11
33146501-aa14-4078-aef6-8bb7458d2aa7,77ff6014-3559-4810-ac64-db97f88aa9cb,accident,8542,2022-12-27
5733277e-5c74-42f0-8393-4ea237fada81,63fff06b-52e0-4fe9-b7ff-40d2ba606690,vol,9612,2020-02-01
62c14c6e-3032-44be-a20f-bb3f00204296,12640cb7-ca09-4d5c-9e6c-1cbcb91d49ec,catastrophe naturelle,8837,2022-10-22
5a30c036-cc9c-4526-bce5-f2e2a2c3207b,157e4aac-356b-4a93-9600-68f73f3cf615,catastrophe naturelle,9341,2023-03-24
758b1428-9ab0-4ffa-9497-081849302704,3f672c79-7e37-4a60-a629-4b3eab941bde,accident,6809,2023-12-02
ea019aca-b83f-490b-a87e-ec39f426bdd8,89a34174-9009-447e-b363-24e5bf5b7457,incendie,5950,2023-04-10
12bfa3df-2feb-48cf-9bf0-5dc2c5710da6,3afe1991-41e8-46e8-972a-da33ca29f3fb,vol,1635,2021-05-11
aa086276-a8e5-4ca1-9491-75ad897b8210,6bcde695-d23c-4a4a-aa19-65ed018e081d,catastrophe naturelle,9872,2020-12-20
21504c42-3fc0-42d0-8d1a-b36386091cd1,7d6af9b3-7895-4a8a-9462-541d8f68993e,catastrophe naturelle,6338,2023-08-12
23b912af-7b0b-4a4a-b42b-7ba12734e9c1,b1e458f3-89c2-4410-9c6c-0d01f505b997,vol,6334,2023-03-21
7a796735-fd69-4134-a5ec-aed0f740d593,75d1cb39-b156-423e-870c-096971675610,accident,2877,2024-01-15
9838d6d7-3eb8-42e0-ab1e-6c4a0fa0c773,e4fe6e55-9ea4-43d3-ac3d-1c61834468ed,catastrophe naturelle,4026,2021-09-08
2f66586b-3e41-46ad-adea-af334d72079a,074a1aff-c690-4dcc-802c-d920593fcf45,incendie,322,2021-03-25
7580acfd-c01e-47d0-a7d6-9ddce7732167,381b7e51-226e-41fd-ab04-14854a20a47b,accident,5804,2022-09-18
ccd6ed4c-fd5e-46d0-b012-2c867eae6c0c,4c6c2141-ec1d-44d2-8ebe-57111543a355,accident,3378,2021-03-06
c26664b8-2907-4992-a535-2787bc25bf25,e3ce9998-7a1a-446d-aa17-c66766e5fbfc,incendie,9220,2020-03-29
b0cbad9a-88ee-4d96-b285-32be98d76a16,df74e6f6-4489-43cb-837e-64be70ac6648,vol,9317,2020-11-13
8a9e1b45-b14a-4e83-b6aa-c6f25e823573,33e8496b-364f-45cf-8da1-045d6662a91a,accident,8680,2020-07-24
df1beb5f-79de-4fa6-96ad-79ab241af54c,6c46c88d-4a33-4d62-855e-e2378d07eae2,vol,7920,2020-02-06
42bd921d-6025-43b7-8d71-5496e2f4dd80,7406c90b-8591-4abf-b43c-e93c590d304d,accident,1179,2021-03-30
1f9328f4-f104-434d-b0fb-c09f51d21e55,33e8496b-364f-45cf-8da1-045d6662a91a,accident,3072,2024-11-01
993b8ad6-9c36-407d-8db1-8996efaf077c,913ac324-64df-49b7-a8f6-3f81f5597363,vol,4266,2022-11-07
fad9ae60-96c6-41a7-8735-0363aafa5539,4f368f14-8bf0-4687-9f7f-b13464e437cb,vol,2168,2024-10-15
b711db23-ce86-4fc0-ac50-3d13d336f96e,2e27ad1d-3c72-4508-82e3-6b0c10d3f262,vol,5484,2024-12-31
965d7b3a-6d6a-4750-9a17-2a0fc627438c,0dca5a2c-0a8a-4d42-a5d2-e35eebc1a2c9,catastrophe naturelle,5314,2024-06-27
30a07589-7b2f-418e-b4ac-417ad7690ed9,7c54f353-cffb-4449-a313-876f4ba5934c,accident,474,2023-06-26
cdae0861-2ba9-4715-9d3c-91a110c9e982,22573d00-784c-41e4-bd85-a79e2afd8257,catastrophe naturelle,3343,2022-09-03
8888d871-cd83-4dd1-81f1-2ef2bb9b2e64,290c964a-eb04-4114-afce-50af5ec0beca,catastrophe naturelle,1637,2024-02-12
359a5248-347e-4ef6-be3e-c28346721e4d,e8863a42-1ee0-4fec-ab94-1f8c677f5b5f,incendie,7916,2023-11-08
1bc1e90a-1009-45f4-a7ee-960de397d642,bde6de61-7e00-45a6-83a5-384d67f92f0a,vol,5606,2022-07-20
21825bf0-7e76-4d04-a61f-396446febce2,19ac5a9c-97a5-4c9c-b922-cc64d79641a0,incendie,7764,2021-12-07
7b418d32-b4b4-42b1-a100-f233cb009a97,cb3f3bb0-4fac-4d6b-89fb-4196a2fe7be5,catastrophe naturelle,9230,2021-11-29
614f4d8b-5c76-4f99-b390-d7a307889f03,9b4cd583-f12f-415d-b84c-c599402b00e6,accident,8620,2020-12-08
cbd464b1-f9b9-4d3d-ab9a-fa46ccbf9b28,cb4e0c53-9f02-4bc0-b4b9-8f029a0e1557,catastrophe naturelle,1620,2024-06-09
d796f2b5-8297-4619-b47f-3e9d2c668212,f7b49820-9eaa-488b-8377-0c4774146bc0,vol,5676,2022-05-22
d00a87de-7a62-4f5d-97bd-0b15bb692963,2989ba10-253f-4218-807f-116aedfe0145,accident,4897,2021-01-09
da4df34c-990e-47ac-b248-517b8a27f2cd,f23bd234-cb18-4f02-a07a-03e93cb80c4a,incendie,1785,2023-12-24
a66e6c92-b252-4bc2-9d66-3bb02fb2f789,1e6bdd39-11fb-4473-958f-e846b13df03e,catastrophe naturelle,4646,2020-09-06
5045baad-bd49-4a92-8ed1-40bae43ab43f,79e52294-1995-4960-a283-07de74c81544,incendie,4682,2022-10-14
a139511d-3d10-46cd-a1ee-83ab80e829c2,4caf14e4-b451-40e0-b02a-e4ab0f5f558c,incendie,8030,2024-10-09
18f4327e-92e7-4979-a150-6f65345fcb84,8e82704d-b24e-44c8-9e5c-f1537ef3ecbb,catastrophe naturelle,1255,2024-03-07
1f2b3f65-b23e-4b25-a408-f4e7d04ce51e,a22077b7-3312-4e9c-ae7a-7d0149a96d51,incendie,7958,2024-01-15
e13ae93e-6b91-4afc-8608-3f11552b9e62,82cb2b1e-d950-4476-b898-3e78348b3216,catastrophe naturelle,9688,2024-09-27
22bcc78d-ff5b-4d40-b2ce-fae72ade12d5,762eda29-2e30-43c6-a292-5dbfd61e4b33,incendie,3896,2020-01-10
539597e5-c91e-458e-b155-9eb7e77399f6,fcb55405-58b2-4915-8426-72d140b3c40a,incendie,613,2021-05-18
c5323c77-5141-480a-9f3d-bf2db0ef3469,74dd42d1-d1d6-4e3f-a83d-8a99dc5b77a7,accident,5042,2022-11-17
d02d962e-f5d9-40ba-a77d-bd6c554f015e,e2a1ce32-5d29-4b6a-b8a9-1aa231ca7ac9,catastrophe naturelle,3069,2020-11-01
adb00e9f-15de-4ceb-bbcd-993eab76d4ae,87f4e607-9c2e-40cf-8574-989dacfaab30,accident,8930,2024-09-14
1c5c9c65-b459-4dd5-ba5f-da1bb53dc847,0034838c-dad3-4d3e-a849-99c925d0e33a,incendie,1879,2021-04-16
7c9c5e39-19b3-43cc-a288-d3b0c6420924,e1a2e35c-ba30-402d-be41-075a06ddca92,vol,3389,2023-04-02
fcd9469b-35cc-451a-8cfd-456553eeceaa,beb6bff9-8a2f-4584-b959-5060105f7921,vol,4142,2020-12-28
97d91a2a-1718-4321-b9cd-7da6529784c1,b1620d69-d93d-46c8-a2ca-ced3eefd1963,catastrophe naturelle,4422,2022-04-30
145e0b9d-f3b4-42bb-a107-f355278b4c6f,231f941e-1993-42dc-b49e-178887a1b648,incendie,1069,2024-08-19
aa33c96f-3082-4d51-a2d1-31f3e42bb328,ad40d3f2-b98c-484c-97db-01db90daf9f6,vol,9090,2023-02-25
813ed754-adcc-4a2e-816b-0fecc50f90e0,e8bef608-7905-4044-9da4-b969a17a72aa,catastrophe naturelle,9738,2022-02-21
c97fb1f5-711c-491e-aded-98c13ddd5002,09dcebe8-cdb1-4984-a570-2c960fea8c9a,catastrophe naturelle,3760,2023-02-19
d4b7b726-ed3d-4a8a-a9d7-8b5a3542c25a,3661738c-a6e6-47fe-8ce0-02dc1eb51344,catastrophe naturelle,3945,2021-09-22
5cab5758-d139-4693-929a-7b1e449a583f,dba6b3bd-3922-429b-a15d-f1e19fa5a79b,incendie,239,2022-10-27
02ed87c4-2c06-4720-b728-065bfdf28573,4c6c2141-ec1d-44d2-8ebe-57111543a355,incendie,5204,2022-01-20
00bae4fa-8c83-4a19-9498-5a0548b1f94c,fdcc9e13-c234-4118-b584-dcaecd084a0c,catastrophe naturelle,3176,2022-02-23
1f028d69-f40e-488e-9a5d-96658d305bbc,42c39887-6f6e-446f-943a-b7671501b5a4,vol,941,2024-07-21
74d6c173-0705-4f1e-8f7a-a44c1e1967d9,0eea2c66-e9fb-4e36-be81-8b45b9a79987,incendie,5036,2020-08-04
8fd8747d-114b-4d51-8c8f-c0ecb8de6f83,2ac1b73d-68b5-4b80-a7ce-9c354e2280dc,accident,6554,2022-09-14
