id_contrat,id_client,type_assurance,date_debut,date_fin
fe20a06a-c346-4638-bab5-00f58c78fa9d,68b9e752-67bd-49ff-a828-fa050c69e83e,auto,2002-03-12,2012-12-18
aa5cea9c-98b1-4ea9-83fe-94124c80d21c,59fa7a3c-80df-451e-bab8-a9b1191f0a04,habitation,2014-10-31,2013-03-10
a1f76f55-332e-4f6f-a272-41143becb7c8,88e4d661-8d6a-4dbf-ba94-43a30d2d2ef9,auto,2004-03-29,2003-07-22
d432fba2-dcd8-4edf-b137-4913bc103f2f,b3c45a13-3cee-4d9c-bb4f-6eec914e4dc4,auto,2000-04-14,2024-06-20
9a101d47-392f-44ea-a246-b54ea95e8d32,058f2010-3b79-4a9e-aafc-ca1a1f76ade8,habitation,2010-04-21,2004-05-10
80cfc447-28c0-4ea3-bed7-47beec87355d,09dcebe8-cdb1-4984-a570-2c960fea8c9a,auto,2023-09-04,2005-03-29
ad1d29f6-0d6d-49d6-9657-ca2f218f45a7,9aadc49f-dcaa-4ab3-8bc9-bec7ec00ee8f,auto,2020-06-28,2009-09-25
4bfad2c0-76b6-4853-814e-d50e72fc1766,66fbc2e1-4921-498c-8c54-4469e3a59928,auto,2007-02-20,2000-05-28
38ea45df-24b0-4dd1-9574-8d9d73468606,d20183f9-c63e-47ba-ba13-b105832f4dfb,santé,2004-02-29,2024-01-06
8b3577c1-ffc7-4885-846e-395d5d9cb6bf,62c971a7-8e82-4bf4-b950-e193a8552308,habitation,2021-05-27,2003-03-13
a7daa5c5-f363-4ac6-875b-fda4fbe55891,590a5a62-4c39-4f40-843c-f8ed7f77b376,habitation,2021-07-08,2002-06-28
87a7895e-9305-462f-9787-107341ed0bff,fa11abc6-b95b-49b9-88cb-f75bf47ee983,santé,2015-03-06,2019-10-14
31906a4c-39f1-4069-bb19-afb136335846,807482e1-2225-4322-b691-54862133a96d,habitation,2007-09-30,2012-02-29
99a28f1c-f0da-4cd3-ad09-213c595d88b0,b3a7ec14-5509-473a-ae18-99e25ac3fd4f,auto,2024-06-27,2010-02-06
